source: BNO @ https://bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/
update: 2020-02-6 9:46:00 ET
place|confirmed_cases|deaths|notes|sources
Guangxi Region|168|0|12 serious, 3 critical|http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0206/68435.html
Yunnan |133|0|16 serious, 2 critical|https://m.weibo.cn/status/4469022416518876
Hebei |157|1|13 serious|http://www.hebwst.gov.cn/index.do?id=397080&templet=content&cid=14
Heilongjiang |227|3|24 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7760/navid/42/stypeid/
Liaoning |94|0|7 serious, 1 critical|https://m.weibo.cn/status/4469085037161884
Hainan |106|1|14 serious|https://m.weibo.cn/detail/4468015657466283
Shanxi |90|0|7 serious, 4 critical|http://wjw.shanxi.gov.cn/wjywl02/24724.hrh
Tianjin|78|1|19 serious, 4 critical|https://m.weibo.cn/detail/4468969622944171
Gansu |62|0|7 serious|http://wsjk.gansu.gov.cn/single/10910/83733.html
Guizhou |71|1|8 serious, 6 critical|https://m.weibo.cn/detail/4469017475439252
Ningxia Region|40|0|3 serious|http://wsjkw.nx.gov.cn/info/1140/13560.htm
Inner Mongolia|46|0||http://wjw.nmg.gov.cn/doc/2020/02/06/290804.shtml
Jilin |59|0|3 serious, 2 critical|https://m.weibo.cn/status/4468878903912656
Xinjiang|36|0|8 serious, 1 critical|http://www.xjhfpc.gov.cn/info/1495/18082.htm
Qinghai |18|0|1 serious|https://m.weibo.cn/status/4468903075418422
Tibet|1|0|Stable|http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
China|28,089|564||
Hong Kong|24|1||https://www.chp.gov.hk/files/pdf/enhanced_sur_pneumonia_wuhan_eng.pdf
Taiwan|16|0|1 recovered|https://www.cna.com.tw/news/firstnews/202002065014.aspx
Macau|10|0||https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
Japan|45*|0||https://www.mhlw.go.jp/stf/newpage_09340.html
Thailand|25|0|1 serious, 9 recovered|https://www.bangkokpost.com/thailand/general/1851149/first-local-virus-patient-cured
Singapore|30|0|1 critical, 1 recovered|https://www.moh.gov.sg/news-highlights/details/four-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
South Korea|23|0|1 recovered|https://www.yna.co.kr/view/AKR20200205106500017
Australia|15|0|3 recovered|https://www.health.qld.gov.au/news-events/doh-media-releases/releases/queensland-coronavirus-update5
Germany|13|0||https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-13/
Malaysia|14|0|13 stable, 1 recovered|https://twitter.com/KKMPutrajaya/status/1225324556979560448
United States|12|0|1 recovered|https://wtmj.com/news/2020/02/05/first-wisconsin-coronavirus-case-confirmed/
Vietnam|12|0|3 recovered|https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-them-2-ca-duong-tinh-virus-corona-deu-la-nguoi-than-nu-cong-nhan-ve-tu-vu-han-613719.html
France|6|0|1 serious|https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-les-six-cas-confirmes-en-france-sont-dans-un-etat-stable-selon-le-directeur-general-de-la-sante_3811051.html
UAE|5|0|Stable|https://www.wam.ae/en/details/1395302820367
Canada|5|0||https://www.cbc.ca/news/canada/british-columbia/2nd-case-of-coronavirus-confirmed-in-b-c-1.5451915
United Kingdom|3|0||https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england
Russia|2|0||https://tass.ru/obschestvo/7656549
Philippines|3|1||https://www.youtube.com/watch?v=_pIluXrMHCk
India|3|0|Stable|https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
Italy|2|0|2 serious|http://www.rainews.it/dl/rainews/articoli/Conte-due-casi-di-coronavirus-accertati-in-Italia-60b4294a-3a3f-4b05-ad1f-b096d1c60110.html
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia|1|0|1 recovered|https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0|1 recovered|https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland|1|0|1 recovered|https://yle.fi/uutiset/osasto/news/finlands_first_coronavirus_patient_released_from_hospital_symptom-free/11193661
Sweden|1|0||https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
Spain|1|0||https://www.antena3.com/noticias/sociedad/confirmado-caso-coronavirus-gomera_202001315e34a9380cf2cfb788f47b07.html
Belgium|1|0||https://www.info-coronavirus.be/nl/2020/02/04/gerepatrieerde-landgenoot-testte-positief-op-het-nieuwe-coronavirus/
Hubei|19,665|550|2,328 serious, 756 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200206_2019847.shtml
Zhejiang province|954|0|51 serious, 15 critical|https://www.zjwjw.gov.cn/art/2020/2/6/art_1202101_41881119.html
Guangdong province|970|0|84 serious, 32 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2885363.html
Henan province|851|2|38 serious, 24 critical|https://m.weibo.cn/status/4468885493786791
Hunan province|711|0|61 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200206_11171582.html
Anhui province|591|0|6 critical|http://wjw.ah.gov.cn/news_details_54599.html
Jiangxi province|600|0|53 serious |http://hc.jiangxi.gov.cn/doc/2020/02/06/138208.shtml
Chongqing|400|2|32 serious, 11 critical|http://wsjkw.cq.gov.cn/tzgg/20200206/252355.html
Jiangsu province|373|0|3 serious|https://m.weibo.cn/status/4468889100612835
Sichuan province|322*|1|18 critical|https://m.weibo.cn/detail/4468886642966555
Shandong province|347|0|24 serious, 7 critical|https://m.weibo.cn/detail/4468984080203682
Beijing|274|1|1+ critical|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200206_1625583.html
Shanghai|257|1|8 serious, 8 critical|https://m.weibo.cn/status/4468971530985983
Fujian province|215|0|12 serious, 8 critical|https://mp.weixin.qq.com/s?__biz=MzA5MTM0NjAxNg==&mid=2650269241&idx=1&sn=9d36727af09b49bb2c9163dddca4634b&chksm=887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c&token=1602347766&lang=zh_CN#rd&url=http%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA5MTM0NjAxNg%3D%3D%26mid%3D2650269241%26idx%3D1%26sn%3D9d36727af09b49bb2c9163dddca4634b%26chksm%3D887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c%26token%3D1602347766%26lang%3Dzh_CN%23rd&share_menu=1&sinainternalbrowser=topnav&mid=4468932695565279&luicode=10000011&lfid=100103type%3D1%26q%3D%E7%A6%8F%E5%BB%BA%E6%96%B0%E5%A2%9E%E6%96%B0%E5%9E%8B%E8%82%BA%E7%82%8E%E7%A1%AE%E8%AF%8A%E7%97%85%E4%BE%8B10%E4%BE%8B+%E7%B4%AF%E8%AE%A1%E7%A1%AE%E8%AF%8A215%E4%BE%8B&u=http%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA5MTM0NjAxNg%3D%3D%26mid%3D2650269241%26idx%3D1%26sn%3D9d36727af09b49bb2c9163dddca4634b%26chksm%3D887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c%26token%3D1602347766%26lang%3Dzh_CN%23rd
Shaanxi province|173|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/6/art_9_67788.html
Guangxi Region|168|0|12 serious, 3 critical|http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0206/68435.html
Yunnan province|133|0|16 serious, 2 critical|https://m.weibo.cn/status/4469022416518876
Hebei province|157|1|13 serious|http://www.hebwst.gov.cn/index.do?id=397080&templet=content&cid=14
Heilongjiang province|227|3|24 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7760/navid/42/stypeid/
Liaoning province|94|0|7 serious, 1 critical|https://m.weibo.cn/status/4469085037161884
Hainan province|106|1|14 serious|https://m.weibo.cn/detail/4468015657466283
Shanxi province|90|0|7 serious, 4 critical|http://wjw.shanxi.gov.cn/wjywl02/24724.hrh
Tianjin|78|1|19 serious, 4 critical|https://m.weibo.cn/detail/4468969622944171
Gansu province|62|0|7 serious|http://wsjk.gansu.gov.cn/single/10910/83733.html
Guizhou province|71|1|8 serious, 6 critical|https://m.weibo.cn/detail/4469017475439252
Ningxia Region|40|0|3 serious|http://wsjkw.nx.gov.cn/info/1140/13560.htm
Inner Mongolia|46|0||http://wjw.nmg.gov.cn/doc/2020/02/06/290804.shtml
Jilin province|59|0|3 serious, 2 critical|https://m.weibo.cn/status/4468878903912656
Xinjiang|36|0|8 serious, 1 critical|http://www.xjhfpc.gov.cn/info/1495/18082.htm
Qinghai province|18|0|1 serious|https://m.weibo.cn/status/4468903075418422
Tibet|1|0|Stable|http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
Hong Kong|24|1||https://www.chp.gov.hk/files/pdf/enhanced_sur_pneumonia_wuhan_eng.pdf
Taiwan|16|0|1 recovered|https://www.cna.com.tw/news/firstnews/202002065014.aspx
Macau|10|0||https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
Japan|45*|0||https://www.mhlw.go.jp/stf/newpage_09340.html
Thailand|25|0|1 serious, 9 recovered|https://www.bangkokpost.com/thailand/general/1851149/first-local-virus-patient-cured
Singapore|30|0|1 critical, 1 recovered|https://www.moh.gov.sg/news-highlights/details/four-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
South Korea|23|0|1 recovered|https://www.yna.co.kr/view/AKR20200205106500017
Australia|15|0|3 recovered|https://www.health.qld.gov.au/news-events/doh-media-releases/releases/queensland-coronavirus-update5
Germany|13|0||https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-13/
Malaysia|14|0|13 stable, 1 recovered|https://twitter.com/KKMPutrajaya/status/1225324556979560448
United States|12|0|1 recovered|https://wtmj.com/news/2020/02/05/first-wisconsin-coronavirus-case-confirmed/
Vietnam|12|0|3 recovered|https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-them-2-ca-duong-tinh-virus-corona-deu-la-nguoi-than-nu-cong-nhan-ve-tu-vu-han-613719.html
France|6|0|1 serious|https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-les-six-cas-confirmes-en-france-sont-dans-un-etat-stable-selon-le-directeur-general-de-la-sante_3811051.html
UAE|5|0|Stable|https://www.wam.ae/en/details/1395302820367
Canada|5|0||https://www.cbc.ca/news/canada/british-columbia/2nd-case-of-coronavirus-confirmed-in-b-c-1.5451915
United Kingdom|3|0||https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england
Russia|2|0||https://tass.ru/obschestvo/7656549
Philippines|3|1||https://www.youtube.com/watch?v=_pIluXrMHCk
India|3|0|Stable|https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
Italy|2|0|2 serious|http://www.rainews.it/dl/rainews/articoli/Conte-due-casi-di-coronavirus-accertati-in-Italia-60b4294a-3a3f-4b05-ad1f-b096d1c60110.html
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia|1|0|1 recovered|https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0|1 recovered|https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland|1|0|1 recovered|https://yle.fi/uutiset/osasto/news/finlands_first_coronavirus_patient_released_from_hospital_symptom-free/11193661
Sweden|1|0||https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
Spain|1|0||https://www.antena3.com/noticias/sociedad/confirmado-caso-coronavirus-gomera_202001315e34a9380cf2cfb788f47b07.html
Belgium|1|0||https://www.info-coronavirus.be/nl/2020/02/04/gerepatrieerde-landgenoot-testte-positief-op-het-nieuwe-coronavirus/
source: BNO @ https://bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/
update: 2020-02-7 9:09:00 ET
place|confirmed_cases|deaths|notes|sources
Hubei|24,953|699|4,188 serious, 1,007 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200208_2021418.shtml
Guangdong |1,034|1|85 serious, 34 critical|https://m.weibo.cn/status/4469364353005712
Zhejiang |1,006|0|51 serious, 21 critical|https://www.zjwjw.gov.cn/art/2020/2/7/art_1202101_41884591.html
Henan |914|3|48 serious, 27 critical|https://m.weibo.cn/status/4469249072410401
Hunan |803|0|57 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200208_11173820.html
Anhui |733|0|6 critical|http://wjw.ah.gov.cn/news_details_54672.html
Jiangxi |661|0|58 serious |http://hc.jiangxi.gov.cn/doc/2020/02/07/138280.shtml
Chongqing|426|2|31 serious, 17 critical|http://wsjkw.cq.gov.cn/tzgg/20200208/252600.html
Jiangsu |439|0|4 serious, 2 critical|https://m.weibo.cn/status/4469614027601267
Shandong |407|0|25 serious, 7 critical|https://m.weibo.cn/status/4469609451584058
Sichuan |364*|1|20 critical|https://m.weibo.cn/status/4469613796748238
Beijing|297|1|1+ critical|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200207_1626156.html
Shanghai|281|1|12 serious, 8 critical|https://m.weibo.cn/status/4469598516746227
Heilongjiang |295|5|38 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7762/navid/42/stypeid/
Fujian |224|0|11 serious, 8 critical|https://mp.weixin.qq.com/s/yBdkYERlK63TE-zfUHxc9w?url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w&share_menu=1&sinainternalbrowser=topnav&mid=4469327715781894&luicode=10000011&lfid=1076035253085658&u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w&url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w&share_menu=1&sinainternalbrowser=topnav&mid=4469327715781894&luicode=10000011&lfid=1076035253085658&u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FyBdkYERlK63TE-zfUHxc9w%3Furl%3Dhttps%253A%252F%252Fmp.weixin.qq.com%252Fs%252FyBdkYERlK63TE-zfUHxc9w%26share_menu%3D1%26sinainternalbrowser%3Dtopnav%26mid%3D4469327715781894%26luicode%3D10000011%26lfid%3D1076035253085658%26u%3Dhttps%253A%252F%252Fmp.weixin.qq.com%252Fs%252FyBdkYERlK63TE-zfUHxc9w
Shaanxi |184|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/7/art_9_67829.html
Guangxi Region|183|0|7 serious, 8 critical|http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0208/68542.html
Hebei |195|1|16 serious|http://www.hebwst.gov.cn/index.do?id=397504&templet=content&cid=14
Yunnan |138|0|15 serious, 3 critical|http://www.bjnews.com.cn/feature/2020/02/08/686220.html
Hainan |115|2|15 serious|https://m.weibo.cn/detail/4469320409139576
Shanxi |104|0|6 serious, 6 critical|http://wjw.shanxi.gov.cn/wjywl02/24758.hrh
Liaoning |99|0|13 serious, 1 critical|https://m.weibo.cn/detail/4469539616510533
Tianjin|81|1|28 serious, 7 critical|https://m.weibo.cn/detail/4469274200004826
Guizhou |81|1|7 serious, 3 critical|https://m.weibo.cn/status/4469399735739271
Gansu |71|0|7 serious, 2 critical|http://www.bjnews.com.cn/feature/2020/02/08/686169.html
Jilin |69|1|5 serious, 1 critical|https://m.weibo.cn/detail/4469604653292027
Inner Mongolia|50|0|empty|http://wjw.nmg.gov.cn/doc/2020/02/07/290979.shtml
Ningxia Region|43|0|1 serious|http://wsjkw.nx.gov.cn/info/1140/13613.htm
Xinjiang|39|0|7 serious, 2 critical|http://www.xjhfpc.gov.cn/info/1495/18101.htm
Qinghai |18|0|1 serious|https://m.weibo.cn/status/4468903075418422
Tibet|1|0|Stable|http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
Undisclosed|238|3|empty|http://www.nhc.gov.cn/yjb/s7860/202002/6c305f6d70f545d59548ba17d79b8229.shtml
China|34,546|722|empty|empty
Hong Kong|26|1|empty|https://www.chp.gov.hk/files/pdf/enhanced_sur_pneumonia_wuhan_eng.pdf
Taiwan|16|0|1 recovered|https://www.cna.com.tw/news/firstnews/202002065014.aspx
Macau|10|0|empty|https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
Japan|89*|0|4 recovered|https://this.kiji.is/598672585603007585?c=39550187727945729
Singapore|33|0|2 critical, 2 recovered|https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
Thailand|25|0|1 serious, 9 recovered|https://www.bangkokpost.com/thailand/general/1851149/first-local-virus-patient-cured
South Korea|24|0|1 recovered|https://www.yna.co.kr/view/AKR20200207031851004?section=society/all
Australia|15|0|5 recovered|https://www.health.gov.au/news/coronavirus-update-at-a-glance
Malaysia|15|0|14 stable, 1 recovered|https://twitter.com/KKMPutrajaya/status/1225690059434627072
Germany|14|0|empty|https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-14/
United States|12|0|3 recovered|https://edition.cnn.com/2020/02/07/us/illinois-coronavirus-patients-discharge/index.html
Vietnam|12|0|3 recovered|https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-them-2-ca-duong-tinh-virus-corona-deu-la-nguoi-than-nu-cong-nhan-ve-tu-vu-han-613719.html
Canada|7|0|empty|https://news.gov.bc.ca/releases/2020HLTH0025-000236
France|6|0|1 serious|https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-les-six-cas-confirmes-en-france-sont-dans-un-etat-stable-selon-le-directeur-general-de-la-sante_3811051.html
UAE|7|0|empty|https://wam.ae/ar/details/1395302822121
United Kingdom|3|0|empty|https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england
Philippines|3|1|empty|https://www.youtube.com/watch?v=_pIluXrMHCk
India|3|0|Stable|https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
Italy|3|0|2 serious|https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2020/02/03/coronavirus-accertamenti-su-italiano-alla-cecchignola-_b20da9f2-57a5-4870-978f-23e9c50d6155.html
Russia|2|0|empty|https://tass.ru/obschestvo/7656549
Nepal|1|0|empty|https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia|1|0|1 recovered|https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0|1 recovered|https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland|1|0|1 recovered|https://yle.fi/uutiset/osasto/news/finlands_first_coronavirus_patient_released_from_hospital_symptom-free/11193661
Sweden|1|0|empty|https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
Spain|1|0|empty|https://www.antena3.com/noticias/sociedad/confirmado-caso-coronavirus-gomera_202001315e34a9380cf2cfb788f47b07.html
Belgium|1|0|empty|https://www.info-coronavirus.be/nl/2020/02/04/gerepatrieerde-landgenoot-testte-positief-op-het-nieuwe-coronavirus/
2020-02-08 17:17:00
source: BNO @ https://bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/
update:2020-02-08 17:17:00 ET
place|confirmed_cases|deaths|notes|sources
Hubei|27,100|780|4,093 serious, 1,154 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200209_2021930.shtml
Guangdong |1,095|1|86 serious, 38 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2888192.html
Zhejiang |1,048|0|53 serious, 25 critical|https://www.zjwjw.gov.cn/art/2020/2/8/art_1202101_41890388.html
Henan |981|4|58 serious, 28 critical|https://m.weibo.cn/status/4469615763854619
Hunan |803|1|56 serious|https://m.weibo.cn/detail/4469739122390609
Anhui |733|0|6 critical|http://wjw.ah.gov.cn/news_details_54672.html
Jiangxi |698|0|61 serious |http://hc.jiangxi.gov.cn/doc/2020/02/08/138433.shtml
Chongqing|428|2|31 serious, 17 critical|http://wsjkw.cq.gov.cn/tzgg/20200208/252719.html
Jiangsu |439|0|4 serious, 2 critical|https://m.weibo.cn/status/4469614027601267
Shandong |416|0|25 serious, 7 critical|https://m.weibo.cn/detail/4469710214671587
Sichuan |364*|1|20 critical|https://m.weibo.cn/status/4469613796748238
Beijing|315|2|1+ critical|https://m.weibo.cn/detail/4469644544990553
Shanghai|286|1|12 serious, 8 critical|http://wsjkw.sh.gov.cn/xwfb/20200208/28cc33026c754317a3463256024ef5ce.html
Heilongjiang |295|5|38 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7762/navid/42/stypeid/
Fujian |239|0|12 serious, 8 critical|http://headline.fjtv.net/folder875/2020-02-08/2168529.html
Shaanxi |195|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/8/art_9_67873.html
Guangxi Region|183|0|7 serious, 8 critical|http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0208/68542.html
Hebei |195|1|16 serious|http://www.hebwst.gov.cn/index.do?id=397504&templet=content&cid=14
Yunnan |138|0|15 serious, 3 critical|http://www.bjnews.com.cn/feature/2020/02/08/686220.html
Hainan |124|2|13 serious|https://m.weibo.cn/detail/4469618502446670
Shanxi |104|0|6 serious, 6 critical|http://wjw.shanxi.gov.cn/wjywl02/24758.hrh
Liaoning |103|0|14 serious, 1 critical|https://m.weibo.cn/status/4469706410874349
Tianjin|88|1|32 serious, 5 critical|https://m.weibo.cn/detail/4469647032393927
Guizhou |89|1|9 serious, 9 critical|http://www.gzhfpc.gov.cn/xwzx_500663/tzgg/202002/t20200208_47776446.html
Gansu |71|1|7 serious, 2 critical|http://wsjk.gansu.gov.cn/single/10910/83839.html
Jilin |69|1|5 serious, 1 critical|https://m.weibo.cn/detail/4469604653292027
Inner Mongolia|52|0||http://wjw.nmg.gov.cn/doc/2020/02/08/291115.shtml
Ningxia Region|45|0|1 serious|http://wsjkw.nx.gov.cn/info/1140/13645.htm
Xinjiang|42|0|9 serious, 2 critical|http://www.xjhfpc.gov.cn/info/1495/18152.htm
Qinghai |18|0|1 serious|https://m.weibo.cn/status/4468903075418422
Tibet|1|0|Stable|http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
China|36,757|804||
Hong Kong|26|1||https://www.chp.gov.hk/files/pdf/enhanced_sur_pneumonia_wuhan_eng.pdf
Taiwan|17|0|1 recovered|https://www.cdc.gov.tw/Bulletin/Detail/CngpYj-4R7LFxtHUDUK5Vw?typeid=9
Macau|10|0||https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
Japan|89*|0|4 recovered|https://this.kiji.is/598672585603007585?c=39550187727945729
Singapore|40|0|4 critical, 2 recovered|https://www.moh.gov.sg/news-highlights/details/seven-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
Thailand|32|0|1 serious, 10 recovered|https://pr.moph.go.th/?url=pr/detail/2/04/138421/
South Korea|24|0|1 recovered|https://www.yna.co.kr/view/AKR20200207031851004?section=society/all
Australia|15|0|5 recovered|https://www.health.gov.au/news/coronavirus-update-at-a-glance
Malaysia|16|0|15 stable, 1 recovered|https://twitter.com/KKMPutrajaya/status/1226065545872592896
Germany|14|0||https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-14/
United States|12|0|3 recovered|https://edition.cnn.com/2020/02/07/us/illinois-coronavirus-patients-discharge/index.html
Vietnam|13|0|3 recovered|https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/ca-duong-tinh-virus-corona-thu-13-o-viet-nam-613604.html
